,instrumentToken,instrumentName,name,lastPrice,expiry,strike,tickSize,lotSize,instrumentType,segment,exchange,isin,multiplier,exchangeToken,optionType
0,881,BANKNIFTY,,39544.6,25NOV21,0.0,0.05,25,FI,FO,NSE,,1,53595,XX
1,19722,NIFTY,,18070.4,25NOV21,0.0,0.05,50,FI,FO,NSE,,1,53597,XX
2,21272,BANKNIFTY,,39711.2,30DEC21,0.0,0.05,25,FI,FO,NSE,,1,71319,XX
3,21483,NIFTY,,18129.15,30DEC21,0.0,0.05,50,FI,FO,NSE,,1,71321,XX
4,47913,BANKNIFTY,,39813.05,27JAN22,0.0,0.05,25,FI,FO,NSE,,1,52263,XX
5,47914,NIFTY,,18189.5,27JAN22,0.0,0.05,50,FI,FO,NSE,,1,52264,XX
6,34574,BANKNIFTY,,6855.85,11NOV21,32500.0,0.05,25,OI,FO,NSE,,1,35012,CE
7,34681,BANKNIFTY,,1.6,11NOV21,32500.0,0.05,25,OI,FO,NSE,,1,35013,PE
8,34682,BANKNIFTY,,4580.45,11NOV21,32600.0,0.05,25,OI,FO,NSE,,1,35023,CE
9,34683,BANKNIFTY,,1.9,11NOV21,32600.0,0.05,25,OI,FO,NSE,,1,35028,PE
10,18361,BANKNIFTY,,4693.3,11NOV21,32700.0,0.05,25,OI,FO,NSE,,1,48337,CE
11,18451,BANKNIFTY,,505.9,11NOV21,32700.0,0.05,25,OI,FO,NSE,,1,48340,PE
12,18455,BANKNIFTY,,4615.15,11NOV21,32800.0,0.05,25,OI,FO,NSE,,1,48341,CE
13,18576,BANKNIFTY,,527.2,11NOV21,32800.0,0.05,25,OI,FO,NSE,,1,48342,PE
14,18577,BANKNIFTY,,4537.7,11NOV21,32900.0,0.05,25,OI,FO,NSE,,1,48343,CE
15,19053,BANKNIFTY,,549.1,11NOV21,32900.0,0.05,25,OI,FO,NSE,,1,48345,PE
16,19055,BANKNIFTY,,6811.95,11NOV21,33000.0,0.05,25,OI,FO,NSE,,1,48346,CE
17,21190,BANKNIFTY,,1.65,11NOV21,33000.0,0.05,25,OI,FO,NSE,,1,48347,PE
18,21256,BANKNIFTY,,4384.7,11NOV21,33100.0,0.05,25,OI,FO,NSE,,1,48348,CE
19,21262,BANKNIFTY,,594.85,11NOV21,33100.0,0.05,25,OI,FO,NSE,,1,48349,PE
20,22454,BANKNIFTY,,4309.2,11NOV21,33200.0,0.05,25,OI,FO,NSE,,1,48350,CE
21,23512,BANKNIFTY,,618.7,11NOV21,33200.0,0.05,25,OI,FO,NSE,,1,48351,PE
22,23524,BANKNIFTY,,4234.35,11NOV21,33300.0,0.05,25,OI,FO,NSE,,1,48352,CE
23,23921,BANKNIFTY,,643.25,11NOV21,33300.0,0.05,25,OI,FO,NSE,,1,48353,PE
24,27537,BANKNIFTY,,4161.5,11NOV21,33400.0,0.05,25,OI,FO,NSE,,1,48354,CE
25,27539,BANKNIFTY,,669.75,11NOV21,33400.0,0.05,25,OI,FO,NSE,,1,48355,PE
26,27540,BANKNIFTY,,4087.95,11NOV21,33500.0,0.05,25,OI,FO,NSE,,1,48356,CE
27,27549,BANKNIFTY,,1.6,11NOV21,33500.0,0.05,25,OI,FO,NSE,,1,48357,PE
28,27550,BANKNIFTY,,4015.1,11NOV21,33600.0,0.05,25,OI,FO,NSE,,1,48358,CE
29,27551,BANKNIFTY,,722.1,11NOV21,33600.0,0.05,25,OI,FO,NSE,,1,48360,PE
30,27552,BANKNIFTY,,3942.9,11NOV21,33700.0,0.05,25,OI,FO,NSE,,1,48375,CE
31,27553,BANKNIFTY,,749.3,11NOV21,33700.0,0.05,25,OI,FO,NSE,,1,48376,PE
32,27555,BANKNIFTY,,3871.5,11NOV21,33800.0,0.05,25,OI,FO,NSE,,1,48377,CE
33,27557,BANKNIFTY,,777.25,11NOV21,33800.0,0.05,25,OI,FO,NSE,,1,48378,PE
34,27561,BANKNIFTY,,3800.75,11NOV21,33900.0,0.05,25,OI,FO,NSE,,1,48388,CE
35,27563,BANKNIFTY,,2.1,11NOV21,33900.0,0.05,25,OI,FO,NSE,,1,48389,PE
36,27564,BANKNIFTY,,5771.6,11NOV21,34000.0,0.05,25,OI,FO,NSE,,1,48390,CE
37,27577,BANKNIFTY,,1.8,11NOV21,34000.0,0.05,25,OI,FO,NSE,,1,48391,PE
38,27578,BANKNIFTY,,3660.15,11NOV21,34100.0,0.05,25,OI,FO,NSE,,1,48395,CE
39,27579,BANKNIFTY,,2.4,11NOV21,34100.0,0.05,25,OI,FO,NSE,,1,48398,PE
40,27580,BANKNIFTY,,3591.75,11NOV21,34200.0,0.05,25,OI,FO,NSE,,1,48399,CE
41,27581,BANKNIFTY,,895.0,11NOV21,34200.0,0.05,25,OI,FO,NSE,,1,48400,PE
42,27583,BANKNIFTY,,3524.05,11NOV21,34300.0,0.05,25,OI,FO,NSE,,1,48401,CE
43,27584,BANKNIFTY,,926.7,11NOV21,34300.0,0.05,25,OI,FO,NSE,,1,48402,PE
44,27585,BANKNIFTY,,3457.15,11NOV21,34400.0,0.05,25,OI,FO,NSE,,1,48404,CE
45,27586,BANKNIFTY,,1.9,11NOV21,34400.0,0.05,25,OI,FO,NSE,,1,48405,PE
46,27587,BANKNIFTY,,5271.4,11NOV21,34500.0,0.05,25,OI,FO,NSE,,1,48406,CE
47,27588,BANKNIFTY,,2.05,11NOV21,34500.0,0.05,25,OI,FO,NSE,,1,48407,PE
48,27589,BANKNIFTY,,3325.6,11NOV21,34600.0,0.05,25,OI,FO,NSE,,1,48413,CE
49,27591,BANKNIFTY,,2.5,11NOV21,34600.0,0.05,25,OI,FO,NSE,,1,48414,PE
50,27594,BANKNIFTY,,3260.95,11NOV21,34700.0,0.05,25,OI,FO,NSE,,1,48416,CE
51,27595,BANKNIFTY,,2.7,11NOV21,34700.0,0.05,25,OI,FO,NSE,,1,48418,PE
52,27604,BANKNIFTY,,3197.1,11NOV21,34800.0,0.05,25,OI,FO,NSE,,1,48419,CE
